前缀	数量	厂牌Key	card	前缀介绍	厂牌介绍
XV	365	MAX-A	MAX-A	ok	weak
LULU	362	LUNATICS	LUNATICS	weak	weak
BOBB	361	Boin Box	BoinBB	ok	weak
MIAB	360	MOODYZ	MOODYZ	ok	ok
MISM	351	えむっ娘ラボ	Muko Lab	weak	ok
SMA	343	マルクス兄弟	Marx Brothers	weak	ok
AVOP	341	AVS collector's	AVS收藏家	ok	ok
KSBJ	340	KSB企画	KSB	weak	weak
KTRA	334	K-Tribe	K部落	missing	ok
NGOD	334	JET映像	JET映像	weak	ok
VENX	334	Venus	Venus	weak	weak
APNS	331	Aurora Project	Aurora Project	ok	ok
ABW	330	PRESTIGE	蚊香社	ok	weak
SNOS	327	S1 NO.1 STYLE	S1	weak	ok
MUDR	322	無垢	无垢	weak	ok
URVRSP	321	PRESTIGE	蚊香社	weak	weak
SDJS	316	SOD Create	SOD	ok	ok
AARM	314	アロマ企画	阿洛玛企划	weak	ok
AVSA	308	AVS collector's	AVS收藏家	ok	ok
MILD	305	Million	Million	weak	weak
ROYD	305	ROYD	Royd	weak	weak
MIFD	303	MOODYZ	MOODYZ	ok	ok
NFDM	303	フリーダム	Freedom	weak	weak
NNPJ	301	Nanpa Japan	Nanpa Japan	ok	weak
EBWH	299	E-BODY	E-BODY	ok	ok
BDSR	297	ビッグモーカル	Big Morkal	weak	ok
NKKD	289	JET映像	JET映像	weak	ok
SIVR	288	S1 NO.1 STYLE	S1	ok	ok
FOCS	287	フォーカス	Focus	weak	weak
MDS	281	宇宙企画	宇宙企划	ok	weak
IENF	277	アイエナジー	IEnergy	weak	weak
YMDD	277	桃太郎映像	桃太郎映像出版	weak	ok
NASS	275	なでしこ	Nadeshiko	weak	ok
KAGP	273	かぐや姫Pt	辉夜姬	ok	weak
MIAE	273	MOODYZ	MOODYZ	ok	ok
VRTM	270	V＆R PRODUCE	V&R制作	weak	ok
NHDTC	269	ナチュラルハイ	Natural High	weak	weak
JRZE	262	Center Village	Center Village	weak	ok
HAWA	258	コスモス映像	Cosmos	ok	weak
HZGD	257	人妻花園劇場	人妻花园剧场	weak	weak
SDAB	257	SOD Create	SOD	ok	ok
MIRD	252	MOODYZ	MOODYZ	weak	ok
PXVR	250	PRESTIGE	蚊香社	weak	weak
KAVR	247	kawaii	kawaii*	weak	ok
MIMK	246	MOODYZ	MOODYZ	ok	ok
OBA	242	Madonna	Madonna	ok	ok
MIST	239	Mr.Michiru	Mr.Michiru	weak	ok
VAGU	239	Venus	Venus	ok	weak
SAME	238	Attackers	Attackers	ok	ok
CWM	237	Dream Ticket	Dream Ticket	ok	ok
TPPN	236	TEPPAN	TEPPAN	weak	weak
GIGL	233	GIGOLO	GIGOLO	ok	weak
REBDB	232	REbecca	REbecca	ok	weak
MOND	231	タカラ映像	Takara	ok	weak
FNS	223	FALENO	FALENO	ok	ok
GS	222	-	-	weak	no_maker
FPRE	219	Fitch	菲奇	ok	ok
IPVR	217	IDEA POCKET	IP社	ok	ok
AKDL	216	アキノリ	AKNR	weak	weak
MXSPS	215	MAXING	MAXING	weak	ok
MOT	213	マザー	Mother	weak	weak
VEMA	209	Venus	Venus	ok	weak
YRH	209	PRESTIGE	蚊香社	ok	weak
BIJN	205	美人魔女	美人魔女	weak	weak
MDVR	203	MOODYZ	MOODYZ	weak	ok
OFJE	203	S1 NO.1 STYLE	S1	weak	ok
ONEZ	202	PRESTIGE	蚊香社	ok	weak
MDBK	196	BAZOOKA	BAZOOKA	ok	ok
SDMM	196	SOD Create	SOD	ok	ok
MIBD	195	MOODYZ	MOODYZ	weak	ok
APAK	191	-	-	weak	no_maker
CMN	188	Cinemagic	Cinemagic	missing	ok
JURA	186	Center Village	Center Village	weak	ok
VDD	185	Dream Ticket	Dream Ticket	ok	ok
EYAN	181	E-BODY	E-BODY	ok	ok
NACT	181	Planet Plus	Planet Plus	weak	weak
BACJ	179	Bermuda	Bermuda	weak	ok
NPJS	175	Nanpa Japan	Nanpa Japan	ok	weak
EMBZ	169	EMBZ	EMBZ	weak	ok
JKSR	168	ビッグモーカル	Big Morkal	weak	ok
FJIN	162	その他有码	その他有码	weak	ok
MFYD	159	溜池ゴロー	溜池五郎	weak	ok
SDAM	159	SOD Create	SOD	ok	ok
FLAV	158	Digital Ark	数字方舟	weak	ok
ABS	157	PRESTIGE	蚊香社	ok	weak
MRSS	157	ミセスの素顔	人妻素颜	weak	weak
MVG	157	M's Video	M's Video	weak	ok
NHDT	154	ナチュラルハイ	Natural High	ok	weak
MTALL	152	Materiall	Materiall	ok	weak
OAE	152	其它写真	其它写真	ok	ok
BONY	150	ボニータ	Bonita	ok	weak
AED	149	Attackers	Attackers	ok	ok
BMW	145	WANZ	WANZ	weak	weak
MOGI	142	MOODYZ	MOODYZ	ok	ok
ONSD	142	S1 NO.1 STYLE	S1	weak	ok
JUNY	140	Fitch	菲奇	weak	ok
CHN	139	PRESTIGE	蚊香社	ok	weak
MIZD	137	MOODYZ	MOODYZ	weak	ok
URE	134	Madonna	Madonna	ok	ok
TRE	131	PRESTIGE	蚊香社	ok	weak
BBI	130	痴女ヘブン	痴女天堂	weak	weak
MKCK	130	E-BODY	E-BODY	weak	ok
IDBD	127	IDEA POCKET	IP社	weak	ok
TCD	126	Trans Club	变性俱乐部	missing	ok
PPBD	123	OPPAI	欧派	ok	ok
MUKC	122	無垢	无垢	weak	ok
PFES	122	プレミアム	Premium	ok	weak
RBK	120	Attackers	Attackers	ok	ok
SSPD	117	Attackers	Attackers	ok	ok
CVDX	115	Celeb no Tomo	Celeb no Tomo	ok	ok
HUNBL	113	Hunter	猎人	weak	ok
HTHD	110	Center Village	Center Village	weak	ok
NDRA	109	JET映像	JET映像	weak	ok
JBD	106	Attackers	Attackers	ok	ok
SMD	103	-	-	missing	no_maker
JFB	101	Fitch	菲奇	ok	ok
OVG	101	Glory Quest	Glory Quest	weak	ok
MUCD	98	無垢	无垢	weak	ok
SGA	97	PRESTIGE	蚊香社	ok	weak
VICD	96	V＆R PRODUCE	V&R制作	ok	ok
MBRAA	95	其它写真	其它写真	ok	ok
MIKR	89	その他有码	その他有码	weak	ok
ACHJ	88	Madonna	Madonna	ok	ok
HIKR	84	Fitch	菲奇	ok	ok
NIMA	81	Fitch	菲奇	ok	ok
GMA	79	Global Media Annex	Global Media Annex	missing	ok
MDON	79	Madonna	Madonna	weak	ok
RBB	78	ROOKIE	ROOKIE	weak	ok
ATKD	73	Attackers	Attackers	weak	ok
BAGR	71	BALTAN	BALTAN	weak	ok
SACE	70	MAX-A	MAX-A	weak	weak
NUKA	68	Center Village	Center Village	weak	ok
SUPD	67	IDEA POCKET	IP社	ok	ok
ANB	66	-	-	weak	no_maker
HNDS	65	本中	本中	weak	ok
NAMH	65	DOC	DOC	ok	ok
MBDD	63	其它写真	其它写真	ok	ok
NGHJ	63	-	-	weak	no_maker
TEK	61	Muteki	Muteki	ok	weak
MAS	60	PRESTIGE	蚊香社	ok	weak
MGOLD	59	Million	Million	ok	weak
EVO	58	PRESTIGE	蚊香社	ok	weak
MKD	57	Mothers	Mothers	weak	weak
OFES	56	S1 NO.1 STYLE	S1	weak	ok
YRZ	55	PRESTIGE	蚊香社	ok	weak
AKA	54	PRESTIGE	蚊香社	ok	weak
SVVRT	54	Sadistic Village	施虐村	ok	ok
PBD	52	プレミアム	Premium	ok	weak
BGN	50	PRESTIGE	蚊香社	ok	weak
FCDSS	49	FALENO	FALENO	weak	ok
PPSD	49	OPPAI	欧派	weak	ok
DAVK	48	-	-	weak	no_maker
DAZD	44	ダスッ！	Das!	weak	ok
SAL	43	SHEMALE a la carte	人妖拼盘	weak	ok
HODV	42	h.m.p	h.m.p	weak	weak
PPT	42	PRESTIGE	蚊香社	ok	weak
USAG	42	-	-	weak	no_maker
DIC	41	PRESTIGE	蚊香社	ok	weak
BID	40	痴女ヘブン	痴女天堂	weak	weak
CLOT	38	-	-	weak	no_maker
PJD	38	プレミアム	Premium	ok	weak
JUSD	37	Madonna	Madonna	ok	ok
SRXV	37	MAX-A	MAX-A	ok	weak
HHF	34	-	-	weak	no_maker
KFNE	34	SOD Create	SOD	ok	ok
MBRBA	34	其它写真	其它写真	ok	ok
IPSD	33	IDEA POCKET	IP社	weak	ok
SPIVR	33	Sadistic Village	施虐村	ok	ok
KWBD	32	kawaii	kawaii*	weak	ok
BLO	31	PRESTIGE	蚊香社	weak	weak
FTN	31	PRESTIGE	蚊香社	ok	weak
HNDB	31	本中	本中	weak	ok
INU	30	PRESTIGE	蚊香社	ok	weak
GAJK	27	-	-	weak	no_maker
MOOC	27	-	-	weak	no_maker
KRND	26	本中	本中	weak	ok
GARA	25	261ARA	募集酱	weak	ok
ESK	24	PRESTIGE	蚊香社	ok	weak
JAN	24	PRESTIGE	蚊香社	ok	weak
JBS	22	PRESTIGE	蚊香社	ok	weak
KAPD	21	kawaii	kawaii*	weak	ok
SODS	21	SOD Create	SOD	weak	ok
PRST	20	プレミアム	Premium	ok	weak
SPS	19	S1 NO.1 STYLE	S1	ok	ok
ENFD	18	其它写真	其它写真	ok	ok
DOJN	17	-	-	weak	no_maker
PXD	16	プレミアム	Premium	ok	weak
JCN	13	PRESTIGE	蚊香社	ok	weak
DEL	11	-	-	weak	no_maker
KOJA	11	-	-	weak	no_maker
RLMP	11	REAL	REAL	weak	ok
SITW	11	-	-	weak	no_maker
UMAN	11	-	-	weak	no_maker
FSVSS	8	FALENO	FALENO	ok	ok
TDT	8	PRESTIGE	蚊香社	ok	weak
TG	8	-	-	missing	no_maker
OERO	7	-	-	weak	no_maker
YDNS	7	-	-	weak	no_maker
YM	7	-	-	missing	no_maker
HRDV	4	h.m.p	h.m.p	weak	weak
NAD	4	DOC	DOC	weak	ok
NNOD	2	-	-	weak	no_maker
SKTH	2	アキノリ	AKNR	weak	weak
FLNS	1	FALENO	FALENO	weak	ok
KDMN	1	SOD Create	SOD	ok	ok
MILK	1	MILK	MILK	missing	weak
MKY	1	麻豆传媒	麻豆传媒	ok	ok
MSQ	1	-	-	weak	no_maker
MZQ	1	-	-	weak	no_maker
PRWF	1	プレミアム	Premium	weak	weak
SAO	1	-	-	missing	no_maker
